University,Country,Type,Filename,File_Size_KB,Processing_Time_Sec,Text_Original_Length,Text_Cleaned_Length,Theme_Count,Avg_Theme_Confidence,Classification_Type,Classification_Confidence,Recommendations_Count,Coverage_Score,High_Priority_Recs
Stanford University,USA,Research,stanford-ai-policy.pdf,36.39,0.3,2278,2268,5,21.0,Permissive,45,1,0,1
Columbia University,USA,Research,columbia-ai-policy.pdf,89.8,0.68,18849,18715,11,71.4,Moderate,57,1,0,1
University of Oxford,UK,Research,oxford-ai-policy.pdf,113.85,0.55,14008,13898,10,48.0,Moderate,65,1,0,1
MIT,USA,Technical,mit-ai-policy.pdf,71.78,0.22,4705,4700,11,25.9,Moderate,66,1,0,1
University of Cambridge,UK,Research,cambridge-ai-policy.pdf,66.59,0.33,9360,9283,9,19.4,Permissive,34,1,0,1
Harvard University,USA,Research,harvard-ai-policy.pdf,40.77,0.11,3084,3064,9,27.8,Moderate,72,1,0,1
University of Chicago,USA,Research,chicago-ai-policy.docx,18.88,0.06,2734,2722,8,30.0,Moderate,45,1,0,1
Imperial College London,UK,Technical,imperial-ai-policy.docx,32.54,0.33,16527,16477,11,61.8,Moderate,63,1,0,1
Cornell University,USA,Research,cornell-ai-policy.docx,23.03,0.2,9722,9709,10,48.5,Permissive,51,1,0,1
